Latitude,Longitude,Segment
-111.11921198941,31.828076605,0
-111.11921198941,31.828116605,0
-111.11921198941,31.828156605,0
-111.11917198941,31.828076605,0
-111.11917198941,31.828116605,0
-111.11917198941,31.828156605,0
-111.11913198941001,31.828076605,0
-111.11913198941001,31.828116605,0
-111.11913198941001,31.828156605,0
-111.11920780351001,31.82806710882,0
-111.11920780351001,31.828107108820003,0
-111.11920780351001,31.82814710882,0
-111.11916780351001,31.82806710882,0
-111.11916780351001,31.828107108820003,0
-111.11916780351001,31.82814710882,0
-111.11912780351001,31.82806710882,0
-111.11912780351001,31.828107108820003,0
-111.11912780351001,31.82814710882,0
-111.11920193979,31.828054950530007,0
-111.11920193979,31.82809495053001,0
-111.11920193979,31.828134950530007,0
-111.11916193979,31.828054950530007,0
-111.11916193979,31.82809495053001,0
-111.11916193979,31.828134950530007,0
-111.11912193979,31.828054950530007,0
-111.11912193979,31.82809495053001,0
-111.11912193979,31.828134950530007,0
-111.11919857571,31.82804692959999,0
-111.11919857571,31.82808692959999,0
-111.11919857571,31.82812692959999,0
-111.11915857571,31.82804692959999,0
-111.11915857571,31.82808692959999,0
-111.11915857571,31.82812692959999,0
-111.11911857571,31.82804692959999,0
-111.11911857571,31.82808692959999,0
-111.11911857571,31.82812692959999,0
-111.11919483555,31.82803841929,0
-111.11919483555,31.82807841929,0
-111.11919483555,31.82811841929,0
-111.11915483555,31.82803841929,0
-111.11915483555,31.82807841929,0
-111.11915483555,31.82811841929,0
-111.11911483555001,31.82803841929,0
-111.11911483555001,31.82807841929,0
-111.11911483555001,31.82811841929,0
-111.11918920617,31.828026037000008,0
-111.11918920617,31.82806603700001,0
-111.11918920617,31.82810603700001,0
-111.11914920617001,31.828026037000008,0
-111.11914920617001,31.82806603700001,0
-111.11914920617001,31.82810603700001,0
-111.11910920617001,31.828026037000008,0
-111.11910920617001,31.82806603700001,0
-111.11910920617001,31.82810603700001,0
-111.11918489716,31.828016116149996,0
-111.11918489716,31.828056116149998,0
-111.11918489716,31.828096116149997,0
-111.11914489716,31.828016116149996,0
-111.11914489716,31.828056116149998,0
-111.11914489716,31.828096116149997,0
-111.11910489716,31.828016116149996,0
-111.11910489716,31.828056116149998,0
-111.11910489716,31.828096116149997,0
-111.11918055065,31.82800564492,0
-111.11918055065,31.828045644920003,0
-111.11918055065,31.82808564492,0
-111.11914055065,31.82800564492,0
-111.11914055065,31.828045644920003,0
